Dataset,Camera,Category,Author,Organisation/Project,Source,Dataset link,Images,Size in GB (est.),Ground Truth,License,License link,SampleImage,Image Format,DOI,Masks,Description
Semper statue Dresden,,,,https://www.epfl.ch/labs/cvlab/data/data-strechamvs/,https://www.epfl.ch/labs/cvlab/wp-content/uploads/2018/08/semper.tar.gz,,3,,,for research purposes only. ,,,,,,
City hall Brussels,,,,https://www.epfl.ch/labs/cvlab/data/data-strechamvs/,,,3,,,for research purposes only. ,,,,,,
Small Plastic,,,,https://www.capturingreality.com/sampledatasets,https://rcdata.capturingreality.com/testset-ga.zip,,14,"0,027",,,,,,,,
Drone Imagery,,,,https://www.capturingreality.com/sampledatasets,https://rcdata.capturingreality.com/testset-dron.zip,,483,,,,,,,,,
Laser Scans and Photos,,,,https://www.capturingreality.com/sampledatasets,https://rcdata.capturingreality.com/testset-las.zip,,83,,,,,,,,,
Head Scan,,,,https://www.capturingreality.com/sampledatasets,https://d3dw42pulxlnbj.cloudfront.net/Head_scan_XMP.7z,,49,,,,,,,,,
The Málaga Stereo and Laser Urban Data Set,"Stereo camera, IMU, GPS, 2xSICK LMS, 3xHOKUYO ",,,https://www.mrpt.org/MalagaUrbanDataset,,,,60,,,,,,,,
Ananias Chapel Photogrammetry Dataset ,,,,https://dataverse.scholarsportal.info/dataset.xhtml?persistentId=doi:10.5683/SP2/XL0YOO,,,,12,,,,,,,,
Khan As'ad Pasha Photogrammetry Dataset ,,,,https://dataverse.scholarsportal.info/dataset.xhtml?persistentId=doi:10.5683/SP2/CKTOOL,,,,,,,,,,,,
Al-‘Azm Palace Photogrammetry Dataset ,,,,https://dataverse.scholarsportal.info/dataset.xhtml?persistentId=doi:10.5683/SP2/SN2YAL,,,,,,,,,,,,
Madrasa al-Jaqmaqiya Photogrammetry Dataset ,,,,https://dataverse.scholarsportal.info/dataset.xhtml?persistentId=doi:10.5683/SP2/KDQUA2,,,,,,,,,,,,
Hammam Nur al-Din Photogrammetry Dataset ,,,,https://dataverse.scholarsportal.info/dataset.xhtml?persistentId=doi:10.5683/SP2/K4W50L,,,,,,,,,,,,
Bimaristan Nur al-Din Photogrammetry Dataset ,,,,https://dataverse.scholarsportal.info/dataset.xhtml?persistentId=doi:10.5683/SP2/RH85N5,,,,,,,,,,,,
Mining,,,,https://info.flyability.com/photogrammetry-dataset,,,,,,,,,,,,
Visual Odometry / SLAM Evaluation 2012,,,,http://www.cvlibs.net/datasets/kitti/eval_odometry.php,,,,,,,,,,,,
Example model: Boy sitting on chair,Pi Scan Rig,,,https://www.pi3dscan.com/index.php/download/category/sample-scan-files,,,,,,,,,,,,
Example Model: Dog with projection,Pi Scan Rig,,,https://www.pi3dscan.com/index.php/download/category/sample-scan-files,,,,,,,,,,,,
Face Scan with 10 Cameras,Pi Scan Rig,,,https://www.pi3dscan.com/index.php/download/category/sample-scan-files,,,,,,,,,,,,
Karate Boy made with projection,Pi Scan Rig,,,https://www.pi3dscan.com/index.php/download/category/sample-scan-files,,,,,,,,,,,,
Man proposing ,Pi Scan Rig,,,https://www.pi3dscan.com/index.php/download/category/sample-scan-files,,,,,,,,,,,,
Richard ,Pi Scan Rig,,,https://www.pi3dscan.com/index.php/download/category/sample-scan-files,,,,,,,,,,,,
Woman in bikini with projection,Pi Scan Rig,,,https://www.pi3dscan.com/index.php/download/category/sample-scan-files,,,,,,,,,,,,
